,Unnamed: 0,EmployeeID,Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeCount,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,Over18,PercentSalaryHike,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,JobInvolvement,PerformanceRating,April,August,December,February,January,July,June,March,May,November,October,September,FullYearHoursWorked,FullName
0,0,1,51,No,Travel_Rarely,Sales,6,2,Life Sciences,1,Female,1,Healthcare Representative,Married,131160,1,Y,11,8,0,1,6,1,0,0,3,4,2,3,3,163.63194444444446,155.3947222222222,141.14777777777778,140.9777777777778,130.83555555555554,161.52222222222224,139.82611111111112,139.5738888888889,125.86444444444444,131.5011111111111,132.72055555555556,147.69083333333333,1711.6869444444446,Cristina Rivers
1,1,2,31,Yes,Travel_Frequently,Research & Development,10,1,Life Sciences,1,Female,1,Research Scientist,Single,41890,0,Y,23,8,1,6,3,5,1,4,3,2,4,2,4,162.22833333333332,163.1266666666667,163.80055555555555,147.9375,134.97583333333333,154.62027777777777,162.84916666666666,153.10083333333333,138.99916666666667,132.04722222222222,154.11083333333335,153.8802777777778,1823.676666666667,Beth Bush
2,2,3,32,No,Travel_Frequently,Research & Development,17,4,Other,1,Male,4,Sales Executive,Married,193280,1,Y,15,8,3,5,2,5,0,3,2,2,1,3,3,149.5636111111111,138.1352777777778,147.6211111111111,138.54833333333335,133.3986111111111,156.0125,146.97333333333333,133.40833333333333,138.61083333333335,119.27055555555556,146.5975,149.0641666666667,1700.2041666666669,Bradley Wright
3,3,4,38,No,Non-Travel,Research & Development,2,5,Life Sciences,1,Male,3,Human Resources,Married,83210,3,Y,11,8,3,13,5,8,7,5,4,4,3,2,3,149.86972222222224,130.01666666666668,159.00444444444446,135.36027777777778,134.1147222222222,153.4775,159.4911111111111,129.30027777777778,138.1186111111111,122.26277777777776,135.60583333333332,143.8925,1694.5144444444445,Zachary Clark
4,4,5,32,No,Travel_Rarely,Research & Development,10,1,Medical,1,Male,1,Sales Executive,Single,23420,4,Y,12,8,2,9,2,6,0,4,4,1,3,3,3,167.63666666666666,159.74027777777778,175.6522222222222,159.83694444444444,143.80666666666667,174.1313888888889,168.9088888888889,167.3325,160.62305555555554,145.62833333333333,168.80055555555555,169.4152777777778,1966.5127777777775,Martin Stevens
5,5,6,46,No,Travel_Rarely,Research & Development,8,3,Life Sciences,1,Female,4,Research Director,Married,40710,3,Y,13,8,0,28,5,7,7,7,3,2,2,3,3,239.6988888888889,226.5030555555556,216.16694444444445,207.1775,194.8661111111111,203.3697222222222,226.2433333333333,227.2513888888889,193.80694444444444,192.56833333333333,225.1261111111111,205.89638888888888,2564.6747222222225,Jody Simpson
6,6,7,28,Yes,Travel_Rarely,Research & Development,11,2,Medical,1,Male,2,Sales Executive,Single,58130,2,Y,20,8,1,5,2,0,0,0,1,3,1,3,4,146.8213888888889,126.32583333333334,138.35944444444445,130.0325,134.17027777777778,147.64416666666668,124.50694444444444,144.27444444444444,130.4036111111111,116.42972222222222,137.8125,129.4875,1613.2683333333332,Corey Rivas
7,7,8,29,No,Travel_Rarely,Research & Development,18,3,Life Sciences,1,Male,2,Sales Executive,Married,31430,2,Y,22,8,3,10,2,0,0,0,1,2,3,3,4,140.26833333333337,135.07111111111112,148.99777777777777,134.93944444444443,127.32083333333334,149.0586111111111,145.97944444444445,134.28694444444446,127.70777777777778,113.99305555555556,141.6211111111111,135.08138888888888,1642.325833333333,Brandon Young
8,8,9,31,No,Travel_Rarely,Research & Development,1,3,Life Sciences,1,Male,3,Laboratory Technician,Married,20440,0,Y,21,8,0,10,2,9,7,8,2,4,3,3,4,158.51361111111112,145.86,143.96944444444443,131.13111111111112,117.14833333333333,129.95055555555555,150.13805555555555,145.1425,144.56833333333333,108.32694444444444,146.40583333333333,143.24,1673.394722222222,Alejandro Adams
9,9,10,25,No,Non-Travel,Research & Development,7,4,Medical,1,Female,4,Laboratory Technician,Divorced,134640,1,Y,13,8,1,6,2,6,1,5,2,1,3,3,3,149.1636111111111,132.87277777777777,155.06472222222223,134.71333333333334,130.27277777777778,140.2722222222222,148.8072222222222,150.9872222222222,133.5127777777778,105.34027777777776,133.6863888888889,142.04722222222222,1666.7405555555554,Jennifer Barrera
